Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,2353.649169921875,2380.416259765625,2351.98779296875,2377.554931640625,2369.185791015625,2658087
2023-01-03,2367.540283203125,2374.878173828125,2351.61865234375,2360.15625,2351.848388671875,3829466
2023-01-04,2360.110107421875,2363.848388671875,2320.421142578125,2324.620849609375,2316.438232421875,4632445
2023-01-05,2329.189697265625,2341.096435546875,2311.191162109375,2320.46728515625,2312.29931640625,6818549
2023-01-06,2332.09716796875,2351.757080078125,2324.39013671875,2341.557861328125,2333.3154296875,3174798
2023-01-09,2349.31103515625,2401.645263671875,2347.51123046875,2396.845458984375,2388.408447265625,5361376
2023-01-10,2405.337158203125,2405.337158203125,2349.957275390625,2361.40234375,2353.090087890625,4023571
2023-01-11,2355.956787109375,2361.033203125,2326.974365234375,2331.6357421875,2323.428466796875,5754776
2023-01-12,2330.435791015625,2337.49658203125,2275.194091796875,2281.285888671875,2273.255615234375,8844386
2023-01-13,2269.102294921875,2282.48583984375,2247.135009765625,2277.593994140625,2269.576904296875,10309291
2023-01-16,2282.30126953125,2288.716064453125,2240.1201171875,2255.903564453125,2247.962646484375,6811927
2023-01-17,2268.733154296875,2291.80810546875,2261.903076171875,2287.931640625,2279.878173828125,5375500
2023-01-18,2283.039794921875,2299.284423828125,2270.90234375,2284.147216796875,2276.10693359375,6724143
2023-01-19,2282.48583984375,2290.1005859375,2267.487060546875,2281.701416015625,2273.669921875,5970027
2023-01-20,2284.42431640625,2284.42431640625,2249.5810546875,2254.565185546875,2246.629150390625,7465143
2023-01-23,2260.42626953125,2276.3017578125,2238.274169921875,2243.166015625,2235.27001953125,5477059
2023-01-24,2252.119140625,2255.488037109375,2203.523193359375,2229.921142578125,2222.07177734375,8244377
2023-01-25,2226.690673828125,2228.767333984375,2196.7392578125,2199.0927734375,2191.35205078125,6192509
2023-01-27,2200.800537109375,2203.523193359375,2133.652099609375,2157.373291015625,2149.779296875,12915487
2023-01-30,2152.158447265625,2189.262939453125,2123.822265625,2178.048583984375,2170.3818359375,10886051
2023-01-31,2198.585205078125,2203.80029296875,2160.7421875,2172.602783203125,2164.955078125,11345797
